Brand,Version,Supplier,Supplier_type,Country,City,Address,IATA,City_airport,climate_impact_kg_co2,flight_distance_km,co2_emissions_kg,climate_impact_of_contrails_ozone_formation_etc_kg,Fuel_consumption_l
Alfa Romeo,,Centerline International,spare parts,United States,Lafayette,"1450 Overlook Drive, Lafayette, CO 80026, USA",LAF,Lafayette,"1,912","6,495",655,"1,257",259
Alfa Romeo,,Classic Alfa,spare parts,United Kingdom,Mitcham,"Unit 21 The IO Centre, 57a Croydon Rd, Mitcham, Croydon CR4 4JA, UK",NEW,New Malden,"2,216","7,311",757,"1,459",299
Alfa Romeo,,Classic Alfa Parts,spare parts,Netherlands,Zwolle,"Van der Heijdenstraat 12, 7102 JA Winterswijk, Netherlands",HLM,Holland,"1,850","6,322",634,"1,215",251
Alfa Romeo,,EB Spares Ltd,spare parts,United States,Westbury,"31 Link Rd, West Wilts Trading Estate, Westbury BA13 4LS, UK",VLY,Valley Stream,"2,657","8,428",905,"1,752",358
Alfa Romeo,,Frank Hanel GmbH,spare parts,Germany,Zwickau,"Hamelner Straße 36, 32683 Barntrup, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
Alfa Romeo,,G. Häckner GmbH,spare parts,Germany,Zwickau,"Rudolf-Diesel-Straße 31, 32683 Schweinfurt, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
Alfa Romeo,,Goos Van Pelt Centro Ricambi,spare parts,Netherlands,Zwolle,"Bagijnhof 31, 4264 AZ Veen, Netherlands",HLM,Holland,"1,850","6,322",634,"1,215",251
Alfa Romeo,,OKP Parts & Engineering GmbH,spare parts,Germany,Zwickau,"Xaver-Weismor-Straße 94, 81829 München, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
Alfa Romeo,,Scuderia 116,spare parts,France,Yerres,"30 Rue de la Gare, 79250 Nueil-les-Aubiers, France",AVO,Avon,"1,998","6,735",684,"1,314",271
Alfa Romeo,,Socaro sprl,spare parts,Belgium,Zwijndrecht,"Avenue Albert 1er 181, Genval 1332 Rixensart, Belgium",HLM,Holland,"1,850","6,322",634,"1,215",251
Alfa Romeo,,The Spare Place,spare parts,Australia,Whyalla,"202 Portrush Road, Trinity Gardens SA 5068, Australia",WYA,Whyalla,"6,789","17,032","2,288","4,501",905
Alfa Romeo,,Van Lingen Alfa Parts BV,spare parts,Netherlands,Zwolle,"Fortweg 5, 3992 LX Houten, Netherlands",HLM,Holland,"1,850","6,322",634,"1,215",251
Alfa Romeo,,Victor Parts,spare parts,France,Yerres,"15ter Bd Jean Moulin, 44100 Nantes, France",AVO,Avon,"1,998","6,735",684,"1,314",271
Allard,,Allard Sportscars,service,United States,Berkeley,"Gloucestershire Science & Technology Park, Berkeley GL13 9FB, UK",OAK,Oakland,"2,948","9,165","1,002","1,946",396
Alvis,,Chris Prince Ltd,service,,,"Crosemere, Cockshutt, Ellesmere SY12 0JP, UK",NNG,,"3,584","10,614","1,215","2,369",481
