Brand;Model;Submodel;Year;Origin
Lancia;Gamma;Berlina 2500 i.e;1981 - 1984;Italy
Lancia;Gamma;Coupé 2500 i.e.;1981 - 1984;Italy
Lancia;H.P.Executive;2000 i.e.;1982 - 1984;Italy
Lancia;H.P.Executive;Volumex;1983 - 1984;Italy
Lancia;Kappa;2.0 20v LE;1994 - 1996;Italy
Lancia;Kappa;2.0 20v LE;1996 - 1998;Italy
Lancia;Kappa;2.0 20v LS;1994 - 1996;Italy
Lancia;Kappa;2.0 20v LS;1996 - 1998;Italy
Lancia;Kappa;2.0 20v LS;1998 - 2001;Italy
Lancia;Kappa;2.0 20v LS Automatic;1998 - 2001;Italy
Lancia;Kappa;2.0 turbo 20v;1998 - 2001;Italy
Lancia;Kappa;2.4 20v LS;1994 - 1998;Italy
Lancia;Kappa;2.4 20v LS;1998 - 2001;Italy
Lancia;Kappa;2.4 20v LS Automatic;1998 - 2001;Italy
Lancia;Kappa;2.4 20v LX;1994 - 1998;Italy
Lancia;Kappa;2.4 jtd 10v LS;1998 - 2001;Italy
Lancia;Kappa;2.4 tds LE;1994 - 1998;Italy
Lancia;Kappa;2.4 tds LS;1994 - 1998;Italy
Lancia;Kappa;3.0 V6 24v LS;1994 - 1998;Italy
Lancia;Kappa;3.0 V6 24v LS;1998 - 2001;Italy
Lancia;Kappa;3.0 V6 24v LS Automatic;1994 - 1998;Italy
Lancia;Kappa;3.0 V6 24v LS Automatic;1999 - 2001;Italy
Lancia;Kappa;3.0 V6 24v LX;1994 - 1998;Italy
Lancia;Kappa;3.0 V6 24v LX Automatic;1999 - 2001;Italy
Lancia;Kappa;2.4 20v;1998 - 2001;Italy
Lancia;Kappa;2.4 20v LS;1997 - 1998;Italy
Lancia;Kappa;3.0 V6 24v Automatic;1998 - 2001;Italy
Lancia;Kappa;3.0 V6 24v LS Automatic;1997 - 1998;Italy
Lancia;Kappa;2.0 turbo 16v;1996 - 1998;Italy
Lancia;Kappa;2.4 20v LS;1996 - 1998;Italy
Lancia;Kappa;2.4 tds LS;1996 - 1998;Italy
Lancia;Kappa;3.0 V6 24v LS Automatic;1996 - 1998;Italy
Lancia;Lybra;1.6 16v;1999 - 2000;Italy
Lancia;Lybra;1.6 16v;2000 - 2003;Italy
Lancia;Lybra;1.6 16v LX;1999 - 2000;Italy
Lancia;Lybra;1.6 16v LX;2000 - 2003;Italy
Lancia;Lybra;1.8 16v LX;1999 - 2004;Italy
Lancia;Lybra;1.9 jtd;2001 - 2004;Italy
Lancia;Lybra;1.9 jtd 16v;2000 - 2001;Italy
Lancia;Lybra;1.9 jtd 16v LX;2000 - 2001;Italy
Lancia;Lybra;1.9 jtd LX;2001 - 2004;Italy
Lancia;Lybra;1.9 jtd LX;1999 - 2000;Italy
Lancia;Lybra;2.0 20v Executive;2003;Italy
Lancia;Lybra;2.0 20v LX;2000 - 2005;Italy
Lancia;Lybra;2.0 20v LX;1999 - 2000;Italy
Lancia;Lybra;2.0 20v LX Comfortronic;1999 - 2000;Italy
Lancia;Lybra;2.4 jtd 10v LX;1999 - 2000;Italy
Lancia;Lybra;2.4 jtd 10v Executive;2003;Italy
Lancia;Lybra;2.4 jtd 10v LX;2002 - 2005;Italy
Lancia;Lybra;1.8 16v;1999 - 2004;Italy
Lancia;Lybra;1.9 jtd;1999 - 2000;Italy
Lancia;Lybra;1.9 jtd LX;2001 - 2005;Italy
Lancia;Lybra;2.4 jtd 20v Executive;2003;Italy
Lancia;Lybra;2.4 jtd 20v Intensa;2002 - 2005;Italy
Lancia;Lybra;2.4 jtd 20v LX;2002 - 2005;Italy
Lancia;Prisma;1500;1983 - 1986;Italy
Lancia;Prisma;1500;1986 - 1987;Italy
Lancia;Prisma;1500 i.e. Catalyst;1986;Italy
Lancia;Prisma;1600;1983 - 1986;Italy
Lancia;Prisma;1600 i.e.;1986 - 1988;Italy
Lancia;Prisma;1600 i.e. Catalyst;1987 - 1990;Italy
Lancia;Prisma;1600 i.e. Catalyst Super;1987 - 1990;Italy
Lancia;Prisma;1600 LX;1985 - 1986;Italy
Lancia;Prisma;1900 Turbo DS;1985 - 1986;Italy
Lancia;Prisma;1900 Turbo DS;1986 - 1990;Italy
Lancia;Prisma;4WD;1987 - 1988;Italy
Lancia;Stratos;HF Stradale;1973 - 1978;Italy
Lancia;Thema;16v Catalyst ABS;1989 - 1992;Italy
Lancia;Thema;16v LE;1993 - 1995;Italy
Lancia;Thema;16v LE;1992 - 1993;Italy
Lancia;Thema;6V;1985 - 1987;Italy
Lancia;Thema;6V ABS;1987 - 1988;Italy
Lancia;Thema;8.32;1987 - 1988;Italy
Lancia;Thema;8.32 Catalyst;1988 - 1991;Italy
Lancia;Thema;i.e.;1985 - 1987;Italy
Lancia;Thema;i.e.;1992 - 1995;Italy
Lancia;Thema;i.e. ABS;1985 - 1987;Italy
Lancia;Thema;i.e. Catalyst;1986 - 1987;Italy
Lancia;Thema;i.e. Catalyst;1988 - 1992;Italy
Lancia;Thema;i.e. Catalyst ABS;1986 - 1987;Italy
Lancia;Thema;i.e. Catalyst ABS;1988 - 1992;Italy
Lancia;Thema;i.e. turbo;1985 - 1987;Italy
Lancia;Thema;i.e. turbo ABS;1985 - 1987;Italy
Lancia;Thema;i.e. turbo Catalyst;1986 - 1988;Italy
Lancia;Thema;i.e. turbo Catalyst ABS;1986 - 1988;Italy
Lancia;Thema;Station Wagon 16v Catalyst ABS;1989 - 1992;Italy
Lancia;Thema;Station Wagon 16v LE;1993 - 1995;Italy
Lancia;Thema;Station Wagon 16v LE;1992 - 1993;Italy
Lancia;Thema;Station Wagon turbo 16v Catalyst ABS;1990 - 1992;Italy
Lancia;Thema;Station Wagon turbo 16v LS;1992 - 1995;Italy
Lancia;Thema;Station Wagon turbo Catalyst ABS;1989 - 1990;Italy
Lancia;Thema;Station Wagon turbo ds;1987 - 1988;Italy
Lancia;Thema;Station Wagon turbo ds ABS;1987 - 1988;Italy
Lancia;Thema;Station Wagon turbo ds;1990 - 1992;Italy
Lancia;Thema;Station Wagon turbo ds;1988 - 1989;Italy
Lancia;Thema;Station Wagon turbo ds ABS;1988 - 1989;Italy
Lancia;Thema;Station Wagon turbo ds LE;1992 - 1995;Italy
Lancia;Thema;Station Wagon turbo ds LS;1993;Italy
Lancia;Thema;Station Wagon V6 LS;1992 - 1995;Italy
Lancia;Thema;Station Wagon V6 LX;1993 - 1995;Italy
Lancia;Thema;turbo 16v ABS;1989 - 1990;Italy
Lancia;Thema;turbo 16v Catalyst ABS;1990 - 1992;Italy
Lancia;Thema;turbo 16v Catalyst ABS LX;1991 - 1992;Italy
Lancia;Thema;turbo 16v LS;1992 - 1995;Italy
Lancia;Thema;turbo Catalyst ABS;1989 - 1990;Italy
Lancia;Thema;turbo ds;1985 - 1988;Italy
Lancia;Thema;turbo ds;1990 - 1992;Italy
Lancia;Thema;turbo ds;1988 - 1989;Italy
Lancia;Thema;turbo ds ABS;1985 - 1988;Italy
Lancia;Thema;turbo ds ABS;1988 - 1989;Italy
Lancia;Thema;turbo ds LE;1993 - 1995;Italy
Lancia;Thema;turbo ds LS;1993;Italy
Lancia;Thema;V6 Catalyst ABS;1989 - 1992;Italy
Lancia;Thema;V6 LS;1992 - 1995;Italy
Lancia;Thema;V6 LX;1992 - 1995;Italy
Lancia;Trevi;2000 i.e.;1982 - 1984;Italy
Lancia;Trevi;Volumex;1983 - 1984;Italy
Land Rover;88;Series III;1980 - 1983;United Kingdom
Landrover;Defender;Crew Cab 130 Td5 E;2002 - 2007;United Kingdom
Landrover;Range Rover;2.5 D SE;1994 - 1998;United Kingdom
Landrover;Range Rover;3.5 V8;1981 - 1983;United Kingdom
Landrover;Range Rover;3.5 V8 Vogue Efi;1985 - 1987;United Kingdom
Landrover;;SWB Soft-Top;1948;United Kingdom
Landrover;107;LWB Pick-Up;1953 - 1956;United Kingdom
Landrover;107;LWB SW;1955 - 1958;United Kingdom
Landrover;109;Diesel LWB Pick-Up;1957 - 1958;United Kingdom
Landrover;109;LWB Pick-Up;1956 - 1958;United Kingdom
Landrover;86;Wagon SWB;1955 - 1956;United Kingdom
Landrover;88;Wagon  SWB;1956 - 1958;United Kingdom
Landrover;Defender;Crew Cab 110 Td5;2002;United Kingdom
Landrover;Defender;Crew Cab 110 Td5 E;2002 - 2007;United Kingdom
Landrover;Defender;Crew Cab 110 Td5 S;2002 - 2007;United Kingdom
Landrover;Defender;Crew Cab 110 Td5 SE;2002 - 2007;United Kingdom
Landrover;Defender;Crew Cab 130 Td5;1999 - 2002;United Kingdom
Landrover;Defender;Crew Cab 130 Td5 S;2002 - 2007;United Kingdom
Landrover;Defender;Crew Cab 130 Tdi;1998;United Kingdom
Landrover;Defender;Hard Top 110 Td5;2001 - 2002;United Kingdom
Landrover;Defender;Hard Top 110 Td5 E;2002 - 2007;United Kingdom
Landrover;Defender;Hard Top 110 Td5 S;2002 - 2007;United Kingdom
Landrover;Defender;Hard Top 110 Td5 SE;2002 - 2007;United Kingdom
Landrover;Defender;Hard Top 110 Tdi;1996 - 1998;United Kingdom
Landrover;Defender;Pick Up 110 Td5;1999 - 2002;United Kingdom
Landrover;Defender;Pick Up 110 Td5 E;1999 - 2002;United Kingdom
Landrover;Defender;Soft Top 90 Td5;2001 - 2002;United Kingdom
Landrover;Defender;Soft Top 90 Td5 E;2002 - 2007;United Kingdom
Landrover;Defender;Soft Top 90 Tdi;1996 - 1998;United Kingdom
Landrover;Defender;SW 110 Td5;2002 - 2007;United Kingdom
Landrover;Defender;SW 110 Td5 E;2002 - 2007;United Kingdom
Landrover;Defender;SW 110 Td5 S;2002 - 2007;United Kingdom
Landrover;Defender;SW 110 Td5 SE;2002 - 2007;United Kingdom
Landrover;Defender;SW 110 Tdi;1990 - 1998;United Kingdom
Landrover;Defender;SW 90 Td5;1999 - 2002;United Kingdom
Landrover;Defender;SW 90 Td5 E;2002 - 2007;United Kingdom
Landrover;Defender;SW 90 Td5 S;2002 - 2007;United Kingdom
Landrover;Defender;SW 90 Td5 SE;2002 - 2007;United Kingdom
Landrover;Defender;SW 90 Td5 Tomb Raider;2001 - 2002;United Kingdom
Landrover;Defender;SW 90 Tdi;1996 - 1998;United Kingdom
Landrover;Discovery;Tdi;1994 - 1998;United Kingdom
Landrover;Discovery;Tdi;1998;United Kingdom
Landrover;Discovery;Tdi;1995 - 1998;United Kingdom
Landrover;Discovery;Tdi ES;1994 - 1998;United Kingdom
Landrover;Discovery;Tdi ES;1995 - 1998;United Kingdom
Landrover;Discovery;Tdi Esquire;1997 - 1998;United Kingdom
Landrover;Discovery;Tdi Esquire Automatic;1997 - 1998;United Kingdom
Landrover;Discovery;Tdi Trophy;1996 - 1998;United Kingdom
Landrover;Discovery;Tdi Trophy;1997 - 1998;United Kingdom
Landrover;Discovery;V8 ES;1994 - 1998;United Kingdom
Landrover;Discovery;V8 Esquire;1997 - 1998;United Kingdom
Landrover;Range Rover;2.4 Turbo Diesel;1987 - 1989;United Kingdom
Landrover;Range Rover;2.5 D SE;1998 - 2001;United Kingdom
Landrover;Range Rover;2.5 Turbo Diesel;1993 - 1994;United Kingdom
Landrover;Range Rover;3.5 V8;1971 - 1981;United Kingdom
Landrover;Range Rover;3.5 V8;1983 - 1985;United Kingdom
Landrover;Range Rover;3.5 V8 Catalyst Vogue Efi;1987 - 1989;United Kingdom
Landrover;Range Rover;3.5 V8 S;1971 - 1981;United Kingdom
Landrover;Range Rover;3.9 V8 Catalyst Classic;1994;United Kingdom
Landrover;Range Rover;3.9 V8 Catalyst Vogue;1989 - 1992;United Kingdom
Landrover;Range Rover;3.9 V8 Catalyst Vogue;1992 - 1994;United Kingdom
Landrover;Range Rover;3.9 V8 Catalyst Vogue Sei;1989 - 1992;United Kingdom
Landrover;Range Rover;3.9 V8 Catalyst Vogue SEi;1992 - 1994;United Kingdom
Landrover;Range Rover;4.0 SE;1994 - 1998;United Kingdom
Landrover;Range Rover;4.0 SE;1998 - 1999;United Kingdom
Landrover;Range Rover;4.2 V8 Catalyst LSEi;1992 - 1994;United Kingdom
Landrover;Range Rover;4.6 HSE;1994 - 1998;United Kingdom
Landrover;Range Rover;4.6 HSE;1998 - 2001;United Kingdom
Landrover;Range Rover;4.6 Vogue;1998 - 2001;United Kingdom
Landrover;88;Wagon Diesel SWB;1957 - 1958;United Kingdom
Lloyd;Alexander;;1957-1961;Germany
Lloyd;Aleander TS;;1958-1961;Germany
Lotus;Cortina;;1962 - 1963;United Kingdom
Lotus;Esprit;S1;1976 - 1978;United Kingdom
Lotus;Esprit;S2;1978 - 1981;United Kingdom
Lotus;Esprit;Turbo;1981 - 1987;United Kingdom
Lotus;Opel;Omega;1990 - 1994;United Kingdom
Maserati;3500;GT;1957 - 1964;Italy
Maserati;3500 GT;Touring;1959 - 1961;Italy
Maserati;Biturbo;Coupé ES;1984 - 1985;Italy
Maserati;Bora;4.7;1971 - 1977;Italy
Maserati;Bora;;1977 - 1978;Italy
Maserati;Ghibli;Coupé;1966 - 1969;Italy
Maserati;Ghibli;Coupé SS;1969 - 1973;Italy
Maserati;Ghibli;Spyder SS;1968 - 1969;Italy
Maserati;Indy;4.7;1971 - 1973;Italy
Maserati;Indy;4.9;1973 - 1975;Italy
Maserati;Khamsin;;1974 - 1976;Italy
Maserati;Merak;;1973 - 1975;Italy
Maserati;Sebring;3500 GTi;1965 - 1966;Italy
Maserati;Shamal;;1990 - 1996;Italy
Maserati;1500;Gran Turismo Spyder;1947 - 1950;Italy
Maserati;228;;1986 - 1992;Italy
Maserati;3500 GT;Spyder Vignale;1960 - 1961;Italy
Maserati;3500 GT;Touring;1957 - 1957;Italy
Maserati;Biturbo;420 S;1986 - 1987;Italy
Maserati;Biturbo;420 Si;1986 - 1990;Italy
Maserati;Biturbo;420 i;1986 - 1987;Italy
Maserati;Biturbo;425;1984 -1987;Italy
Maserati;Biturbo;430 Cat.;1988 - 1992;Italy
Maserati;Biturbo;Coupé E;1983 - 1985;Italy
Maserati;Biturbo;Coupé E II 2.5;1985 -1987;Italy
Maserati;Biturbo;Coupé S 2.5 U-Cat.;1984 - 1988;Italy
Maserati;Biturbo;Coupé Si 2.5 Cat.;1987 - 1991;Italy
Maserati;Biturbo;Spyder;1984 - 1987;Italy
Maserati;Biturbo;Spyder;1986 - 1987;Italy
Maserati;Biturbo;Spyder;1988 - 1989;Italy
Maserati;Ghibli;Spyder;1968 - 1969;Italy
Maserati;Indy;4200;1969 - 1970;Italy
Maserati;Kharif;;1988 - 1990;Italy
Maserati;Kharif;Catalyst;1988 - 1991;Italy
Maserati;Khamsin;;1976 - 1979;Italy
Maserati;Khamsin;;1979 - 1982;Italy
Maserati;Khamsin;Automatica;1974- 1976;Italy
Maserati;Khamsin;Automatica;1977 - 1979;Italy
Maserati;Kyalami;4.2;1976 -1983;Italy
Maserati;Kyalami;4.9;1976 -1983;Italy
Maserati;Merak;SS;1977 - 1983;Italy
Maserati;Mexico;4.2;1969 - 1973;Italy
Maserati;Mexico;4.7;1967 - 1973;Italy
Maserati;Mistral;;1967 - 1970;Italy
Maserati;Mistral;Coupé 3.5;1964 - 1967;Italy
Maserati;Mistral;Coupé 3.7;1964 - 1967;Italy
Maserati;Mistral;Coupé 4.0;1967 - 1970;Italy
Maserati;Mistral;Spyder 4.0;1965 - 1970;Italy
Matra;Djet V;S;1964 -1968;France
Matra;M350;;1967 - 1973;France
Matra;Aerodjet;;1963;France
Matra;Bagheera;;1973 - 1976;France
Matra;Bagheera;;1978 - 1979;France
Matra;Bagheera;S;1976 - 1978;France
Matra;Bagheera;X;1979 - 1980;France
Matra;Djet I;;1962 - 1964;France
Matra;Djet II;;1963 - 1964;France
Matra;Djet III;;1963 - 1964;France
Matra;Djet IV;;1963 - 1964;France
Matra;Djet V;;1964 -1968;France
Matra;Jet;6;1966 - 1968;France
Mercedes-Benz;170;V;1947 - 1950;Germany
Mercedes-Benz;190 SL;;1955 - 1963;Germany
Mercedes-Benz;200;Automatic;1980 - 1986;Germany
Mercedes-Benz;200;D;1979 - 1985;Germany
Mercedes-Benz;220;A;1954 - 1956;Germany
Mercedes-Benz;220;b;1959 - 1965;Germany
Mercedes-Benz;220;S;1956 - 1959;Germany
Mercedes-Benz;220;S;1957 - 1959;Germany
Mercedes-Benz;220;Sb;1959 - 1965;Germany
Mercedes-Benz;230;CE;1980 - 1986;Germany
Mercedes-Benz;230;SL;1965 - 1967;Germany
Mercedes-Benz;230;SL Automatic;1965 - 1967;Germany
Mercedes-Benz;250;SL;1966 - 1968;Germany
Mercedes-Benz;250;SL Automatic;1966 - 1968;Germany
Mercedes-Benz;280;SL;1967 - 1971;Germany
Mercedes-Benz;280;SL Automatic;1967 - 1971;Germany
Mercedes-Benz;300 SL;"""Gullwing""";1954 - 1957;Germany
Mercedes-Benz;300;TD;1979 - 1985;Germany
Mercedes-Benz;300;TD;1982 - 1985;Germany
Mercedes-Benz;320;TE Cat. Automatic 4;1992 - 1993;Germany
Mercedes-Benz;380;SE Automatic;1981 - 1985;Germany
Mercedes-Benz;500;SL Automatic;1981 - 1985;Germany
Mercedes-Benz;600;;1963 - 1981;Germany
Mercedes-Benz;600 SL;;1992 - 1993;Germany
Messerschmitt;KR 200;;1955 - 1964;Germany
MG;MGA;1500;1955 -1962;United Kingdom
MG;MGA;1500;1956 -1962;United Kingdom
MG;MGB;MGB GT V8;1973-1974;United Kingdom
MG;MGB;;1962 - 1967;United Kingdom
MG;MGC;;1967 - 1968;United Kingdom
MG;TC;TC Midget;1945 - 1949;United Kingdom
MG;TD;;1949 - 1953;United Kingdom
MG;TD;Midget;1949 - 1953;United Kingdom
MG;TF;Midget;1953 - 1955;United Kingdom
Morris;Minor;1000;1966 - 1970;United Kingdom
Morris;Minor;1000;1962 - 1966;United Kingdom
Morris;Minor;1000 Tourer;1962 - 1966;United Kingdom
Morris;Minor;1000 Traveller;1956 - 1961;United Kingdom
NSU;1200;C;1967 - 1973;Germany
NSU;Ro 80;;1967 - 1977;Germany
NSU;Wankel-Spider;;1964 - 1967;Germany
Opel;Commodore;Coupe 2200;1967 - 1969;Germany
Opel;GT;1900;1968 - 1973;Germany
Opel;GT;J Sport;1968 - 1973;Germany
Opel;Kadett;B Coupe;1965 - 1973;Germany
Opel;Olympia;Rekord Cabrio;1954 - 1955;Germany
Opel;Rekord;Rekord P1 Olympia;1957 - 1960;Germany
Peugeot;204;;1966 - 1968;France
Peugeot;405;1.6 GLX;1991 - 1992;France
Peugeot;504;Cabriolet Ti;1974 - 1979;France
Peugeot;504;Coupé Ti;1974 - 1979;France
Porsche;356;A Coupé 1300;1955 - 1957;Germany
Porsche;356;B Cabriolet 1600;1959 - 1961;Germany
Porsche;356;B Coupé 1600;1959 - 1961;Germany
Porsche;356;B Coupé 1600 Super 75;1959 - 1961;Germany
Porsche;356;B Coupé 1600 Super 90;1959 - 1961;Germany
Porsche;356;B Roadster 1600 Super 90;1959 - 1962;Germany
Porsche;356;C Coupé 1600 SC;1963 - 1965;Germany
Porsche;356;Cabriolet 1100;1950 - 1952;Germany
Porsche;911;Carrera Cabriolet;1989 - 1993;Germany
Porsche;911;Carrera Cabriolet 4;1989 - 1993;Germany
Porsche;911;Carrera Coupe;1983 - 1989;Germany
Porsche;911;Carrera Coupé 4;1989 - 1993;Germany
Porsche;911;Carrera Coupé 4;1995 - 1998;Germany
Porsche;911;Carrera Coupe Catalyst;1986 - 1989;Germany
Porsche;911;Carrera RS 2.7 Sport;1972 - 1973;Germany
Porsche;911;Carrera Coupé;1993;Germany
Porsche;911;Coupe 2.0 E;1969 - 1970;Germany
Porsche;911;Coupe 2.0 L;1968;Germany
Porsche;911;Coupe 2.0 S;1967 - 1970;Germany
Porsche;911;Coupe 2.0 T;1968 - 1970;Germany
Porsche;911;Coupe 2.2 T;1970 - 1971;Germany
Porsche;911;Coupe 2.4 T;1971 - 1973;Germany
Porsche;911;SC Targa;1980 - 1983;Germany
Porsche;911;Targa 2;1989 - 1993;Germany
Porsche;911;Targa 2.0 E;1969 - 1970;Germany
Porsche;911;Targa 2.0 T;1968 - 1970;Germany
Porsche;911;Turbo Coupe Manual 4;1978 - 1988;Germany
Porsche;912;Coupe;1965 - 1969;Germany
Porsche;912;Targa;1965 - 1969;Germany
Porsche;914;/4;1969 - 1972;Germany
Porsche;914;1.7;1972 - 1973;Germany
Porsche;914;1.8;1973 - 1975;Germany
Porsche;914;2.0;1972 - 1975;Germany
Porsche;914;6;1969 - 1972;Germany
Porsche;924;;1976 - 1985;Germany
Porsche;924;Carrera GT;1981;Germany
Porsche;924;S;1985 - 1987;Germany
Porsche;924;Turbo;1980 - 1982;Germany
Porsche;944;Cabriolet S2 Catalyst;1989 - 1991;Germany
Porsche;944;Coupé;1985 - 1988;Germany
Porsche;944;Coupé Catalyst;1986 - 1987;Germany
Porsche;944;Coupé S2;1989;Germany
Porsche;944;Coupé S2 Catalyst;1989 - 1991;Germany
Porsche;944;Coupé turbo;1988 - 1989;Germany
Porsche;Boxster;2.5;1996 - 1999;Germany
Porsche;Boxster;2.5 Tiptronic;1996 - 1999;Germany
Porsche;Boxster;2.7;1999 - 2002;Germany
Porsche;Boxster;S 3.2;1999 - 2002;Germany
Porsche;Boxster;S 3.2 Tiptronic;1999 - 2002;Germany
Renault;4CV;;1958 - 1960;France
Rolls-Royce;Corniche;;1971 - 1987;United Kingdom
Rolls-Royce;Silver Shadow;;1965 - 1977;United Kingdom
Rolls-Royce;Silver Shadow;II;1977 - 1980;United Kingdom
Rolls-Royce;Silver Spirit;6.8;1981 - 1982;United Kingdom
Rover;75;Four-Light Saloon;1948 - 1949;United Kingdom
Saab;92;B Deluxe;1953 - 1956;Sweden
Saab;95;L;1975 - 1977;Sweden
Saab;Sonett;III;1970 - 1974;Sweden
Saab;Ursaab;;1946;Sweden
Simca;1000;1.3 Rallye 2;1976 - 1977;France
Simca 9;9;;1952 - 1954;France
Sunbeam;Alpine;Series 2;1960 - 1963;United Kingdom
Sunbeam;Alpine;Series 3;1963 - 1964;United Kingdom
Sunbeam;Alpine;Series 5;1965 - 1968;United Kingdom
Sunbeam;Alpine;Mark I;1953 - 1955;United Kingdom
Talbot;Matra Murena;1.6;1981 - 1982;France
Trabant;1.1;Universal U-Cat.;1990 - 1991;Germany
Triumph;Roadster;2000 (TRA);1948 - 1949;United Kingdom
Triumph;Spitfire;1500;1974 - 1980;United Kingdom
Triumph;Spitfire;MK IV;1970 - 1974;United Kingdom
Triumph;Stag;;1970 - 1977;United Kingdom
Triumph;TR250;;1967 - 1968;United Kingdom
Triumph;TR3;;1955 - 1957;United Kingdom
Triumph;TR4;;1961 - 1965;United Kingdom
Triumph;TR 6;;1968 - 1976;United Kingdom
Triumph;Vitesse;Mk I;1966 - 1968;United Kingdom
TVR;2500 M;;1971 - 1977;United Kingdom
TVR;Grantura;Series II 1.0;1960 - 1962;United Kingdom
Volkswagen;1600;TL;1969 - 1973;Germany
Volkswagen;412;;1973 - 1974;Germany
Volkswagen;Beetle;1200 L;1974 - 1985;Germany
Volkswagen;Beetle;1300;1967 - 1970;Germany
Volkswagen;Beetle;1300;1970 - 1973;Germany
Volkswagen;Beetle;1303 S;1972 - 1975;Germany
Volkswagen;Beetle;1500;1967 - 1970;Germany
Volkswagen;Beetle;Cabriolet 1200;1954 - 1965;Germany
Volkswagen;Beetle;Cabriolet 1302 LS;1970 - 1972;Germany
Volkswagen;Beetle;Cabriolet 1303 LS;1972 - 1980;Germany
Volkswagen;Golf;1.8 GLi;1982 - 1987;Germany
Volkswagen;Golf;Cabriolet 1.8 Cat. Sportline Automatic;1990 - 1993;Germany
Volvo;122;S;1956 - 1961;Sweden
Volvo;164;;1968 - 1973;Sweden
Volvo;164;E;1971 - 1974;Sweden
Volvo;240;2.4 D GL Classic;1988 - 1991;Sweden
Volvo;242;2.0 L;1976 - 1978;Sweden
Volvo;345;1.4 GL;1981 - 1982;Sweden
Volvo;940;Estate 2.3ti;1994 - 1998;Zweden
Volvo;P 1800;E;1969 - 1972;Sweden
Volvo;P1800;ES;1971 - 1973;Sweden
Volvo;P 1800;S;1968 - 1969;Sweden
Volvo;P 1800;S;1963 - 1968;Sweden
Wartburg;353;W Tourist;1975 - 1989;Germany
Zündapp;Janus;;1957 - 1958;Germany
